C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-50-18-681.load
Comment s20h crashed 9
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.210	92.430	49.920	72.150	214.500	0.210	79.900	77.350	209.950	367.200	0.210		
0.220	92.430	49.920	72.150	214.500	0.220	79.900	77.350	207.400	364.650	0.220		
0.230	92.430	49.920	72.150	214.500	0.230	79.900	77.350	209.950	367.200	0.230		
0.240	92.430	49.920	74.880	217.230	0.240	79.900	77.350	209.950	367.200	0.240		
0.250	94.770	49.920	72.150	216.840	0.250	79.900	79.900	209.950	369.750	0.250		
0.260	92.430	49.920	72.150	214.500	0.260	79.900	74.800	207.400	362.100	0.260		
0.270	92.250	49.610	72.160	214.020	0.270	79.900	77.350	209.950	367.200	0.270		
0.280	94.710	49.610	74.620	218.940	0.280	77.350	74.800	209.950	362.100	0.280		
0.290	94.710	49.610	72.160	216.480	0.290	79.900	74.800	209.950	364.650	0.290		
0.300	94.710	49.610	74.620	218.940	0.300	74.820	72.240	209.840	356.900	0.300		
0.310	97.170	49.610	74.620	221.400	0.310	74.820	74.820	209.840	359.480	0.310		
0.320	97.170	52.480	74.620	224.270	0.320	77.400	74.820	209.840	362.060	0.320		
0.330	97.170	49.610	74.620	221.400	0.330	74.820	74.820	212.420	362.060	0.330		
0.340	99.630	49.610	74.620	223.860	0.340	74.820	72.240	212.420	359.480	0.340		
0.350	97.170	49.610	72.160	218.940	0.350	74.820	72.240	212.420	359.480	0.350		
0.360	99.630	52.480	72.160	224.270	0.360	74.820	72.240	215.000	362.060	0.360		
0.370	99.630	52.480	74.620	226.730	0.370	74.820	72.240	212.420	359.480	0.370		
0.380	99.630	52.480	72.160	224.270	0.380	72.240	69.660	212.420	354.320	0.380		
0.390	99.630	52.480	74.620	226.730	0.390	72.240	69.660	212.420	354.320	0.390		
0.400	102.500	52.480	74.620	229.600	0.400	72.240	69.660	215.000	356.900	0.400		
0.410	102.500	52.480	72.160	227.140	0.410	72.240	69.660	215.000	356.900	0.410		
