C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-01-42-928.load
Comment s7vw
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.730	736.320	81.120	0.000	817.440	0.730	2.500	0.000	0.000	2.500	0.730		
0.740	739.440	78.000	0.000	817.440	0.740	2.500	0.000	0.000	2.500	0.740		
0.750	745.680	74.880	0.000	820.560	0.750	2.500	0.000	0.000	2.500	0.750		
0.760	748.800	74.880	0.000	823.680	0.760	2.500	0.000	0.000	2.500	0.760		
0.770	751.920	74.880	0.000	826.800	0.770	2.500	0.000	0.000	2.500	0.770		
0.780	751.920	71.760	0.000	823.680	0.780	2.500	0.000	0.000	2.500	0.780		
0.790	758.160	68.640	0.000	826.800	0.790	2.500	0.000	0.000	2.500	0.790		
0.800	758.160	68.640	0.000	826.800	0.800	2.500	0.000	0.000	2.500	0.800		
0.810	761.280	65.520	0.000	826.800	0.810	0.000	0.000	0.000	0.000	0.810		
0.820	764.400	65.520	0.000	829.920	0.820	0.000	0.000	0.000	0.000	0.820		
0.830	764.400	62.400	0.000	826.800	0.830	0.000	0.000	0.000	0.000	0.830		
0.840	770.640	62.400	0.000	833.040	0.840	0.000	0.000	0.000	0.000	0.840		
0.850	773.760	62.400	0.000	836.160	0.850	0.000	0.000	0.000	0.000	0.850		
0.860	780.000	62.400	0.000	842.400	0.860	0.000	0.000	0.000	0.000	0.860		
0.870	784.470	59.580	0.000	844.050	0.870	0.000	0.000	0.000	0.000	0.870		
0.880	791.090	56.270	0.000	847.360	0.880	0.000	0.000	0.000	0.000	0.880		
0.890	794.400	52.960	0.000	847.360	0.890	0.000	0.000	0.000	0.000	0.890		
0.900	801.020	52.960	0.000	853.980	0.900	0.000	0.000	0.000	0.000	0.900		
0.910	804.330	49.650	0.000	853.980	0.910	0.000	0.000	0.000	0.000	0.910		
0.920	810.950	49.650	0.000	860.600	0.920	0.000	0.000	0.000	0.000	0.920		
0.930	814.260	46.340	0.000	860.600	0.930	1.900	0.000	0.000	1.900	0.930		
0.940	820.880	43.030	0.000	863.910	0.940	4.750	0.000	0.000	4.750	0.940		
