timestamp, HMD_x, HMD_y,HMD_z
495.641,10,-37.6485,1.7556,-1.2754
495.652,10,-37.6402,1.7564,-1.2752
495.664,10,-37.6322,1.7573,-1.2751
495.675,10,-37.6242,1.7581,-1.2754
495.686,10,-37.6164,1.7588,-1.2757
495.697,10,-37.6084,1.7597,-1.2761
495.709,10,-37.6007,1.7607,-1.2767
495.720,10,-37.5931,1.7618,-1.2773
495.731,10,-37.5855,1.7629,-1.2780
495.742,10,-37.5779,1.7640,-1.2786
495.754,10,-37.5702,1.7653,-1.2792
495.765,10,-37.5627,1.7668,-1.2798
495.777,10,-37.5552,1.7682,-1.2805
495.788,10,-37.5477,1.7693,-1.2812
495.800,10,-37.5402,1.7702,-1.2818
495.811,10,-37.5328,1.7710,-1.2825
495.823,10,-37.5253,1.7715,-1.2832
495.834,10,-37.5177,1.7719,-1.2838
495.845,10,-37.5100,1.7720,-1.2845
495.856,10,-37.5024,1.7720,-1.2852
495.867,10,-37.4946,1.7719,-1.2859
495.879,10,-37.4868,1.7715,-1.2867
495.890,10,-37.4789,1.7710,-1.2875
495.901,10,-37.4709,1.7703,-1.2883
495.912,10,-37.4628,1.7694,-1.2891
495.923,10,-37.4546,1.7685,-1.2900
495.934,10,-37.4462,1.7674,-1.2911
495.945,10,-37.4380,1.7664,-1.2922
495.956,10,-37.4298,1.7655,-1.2933
495.968,10,-37.4214,1.7644,-1.2945
495.979,10,-37.4130,1.7633,-1.2957
495.990,10,-37.4047,1.7620,-1.2970
496.001,10,-37.3964,1.7606,-1.2984
496.012,10,-37.3881,1.7592,-1.2998
496.023,10,-37.3796,1.7578,-1.3013
496.034,10,-37.3712,1.7565,-1.3028
496.046,10,-37.3627,1.7552,-1.3045
496.057,10,-37.3542,1.7540,-1.3063
496.068,10,-37.3457,1.7530,-1.3081
496.077,10,-37.3372,1.7520,-1.3099
496.088,10,-37.3285,1.7512,-1.3120
496.099,10,-37.3198,1.7504,-1.3141
496.110,10,-37.3110,1.7497,-1.3162
496.122,10,-37.3023,1.7490,-1.3186
496.133,10,-37.2935,1.7483,-1.3209
496.144,10,-37.2846,1.7481,-1.3234
496.156,10,-37.2758,1.7484,-1.3259
496.167,10,-37.2669,1.7489,-1.3285
496.177,10,-37.2583,1.7493,-1.3310
