timestamp, HMD_x, HMD_y,HMD_z
158.237,10,-36.0027,1.8661,-1.3505
158.248,10,-35.9946,1.8656,-1.3500
158.259,10,-35.9865,1.8647,-1.3494
158.271,10,-35.9784,1.8637,-1.3486
158.281,10,-35.9705,1.8626,-1.3478
158.293,10,-35.9623,1.8616,-1.3469
158.304,10,-35.9544,1.8605,-1.3460
158.314,10,-35.9463,1.8593,-1.3447
158.326,10,-35.9382,1.8580,-1.3436
158.337,10,-35.9301,1.8563,-1.3424
158.348,10,-35.9219,1.8547,-1.3410
158.359,10,-35.9139,1.8534,-1.3394
158.370,10,-35.9058,1.8523,-1.3378
158.381,10,-35.8976,1.8515,-1.3361
158.392,10,-35.8896,1.8509,-1.3342
158.404,10,-35.8815,1.8504,-1.3321
158.415,10,-35.8734,1.8497,-1.3301
158.426,10,-35.8655,1.8490,-1.3279
158.437,10,-35.8576,1.8482,-1.3257
158.448,10,-35.8498,1.8474,-1.3233
158.459,10,-35.8419,1.8468,-1.3211
158.470,10,-35.8341,1.8462,-1.3187
158.481,10,-35.8263,1.8460,-1.3165
158.492,10,-35.8185,1.8465,-1.3142
158.503,10,-35.8107,1.8473,-1.3119
158.514,10,-35.8029,1.8481,-1.3097
158.525,10,-35.7952,1.8488,-1.3074
158.536,10,-35.7875,1.8498,-1.3051
158.547,10,-35.7798,1.8514,-1.3029
158.559,10,-35.7721,1.8535,-1.3007
158.570,10,-35.7644,1.8557,-1.2985
158.581,10,-35.7567,1.8576,-1.2965
158.592,10,-35.7490,1.8587,-1.2945
158.603,10,-35.7415,1.8593,-1.2926
158.614,10,-35.7339,1.8592,-1.2908
158.626,10,-35.7268,1.8591,-1.2891
158.637,10,-35.7195,1.8592,-1.2876
158.648,10,-35.7122,1.8596,-1.2863
158.659,10,-35.7051,1.8603,-1.2851
158.670,10,-35.6979,1.8615,-1.2839
158.681,10,-35.6910,1.8625,-1.2828
158.691,10,-35.6839,1.8635,-1.2818
158.702,10,-35.6768,1.8647,-1.2811
158.713,10,-35.6697,1.8657,-1.2803
158.725,10,-35.6626,1.8670,-1.2797
158.736,10,-35.6560,1.8682,-1.2792
158.748,10,-35.6493,1.8693,-1.2788
158.758,10,-35.6428,1.8703,-1.2784
158.769,10,-35.6362,1.8712,-1.2782
158.779,10,-35.6296,1.8721,-1.2780
158.791,10,-35.6231,1.8725,-1.2779
158.802,10,-35.6167,1.8727,-1.2778
158.813,10,-35.6103,1.8728,-1.2778
158.824,10,-35.6042,1.8728,-1.2779
158.835,10,-35.5979,1.8729,-1.2779
158.846,10,-35.5917,1.8730,-1.2781
158.857,10,-35.5852,1.8732,-1.2782
158.868,10,-35.5790,1.8732,-1.2785
158.880,10,-35.5727,1.8729,-1.2791
158.890,10,-35.5665,1.8724,-1.2796
158.902,10,-35.5604,1.8719,-1.2803
158.913,10,-35.5543,1.8713,-1.2810
158.924,10,-35.5483,1.8708,-1.2817
158.935,10,-35.5423,1.8701,-1.2825
158.946,10,-35.5363,1.8691,-1.2837
158.957,10,-35.5303,1.8681,-1.2846
158.968,10,-35.5245,1.8671,-1.2858
158.979,10,-35.5187,1.8662,-1.2869
158.991,10,-35.5130,1.8656,-1.2883
159.002,10,-35.5075,1.8651,-1.2903
159.013,10,-35.5017,1.8646,-1.2919
159.024,10,-35.4963,1.8640,-1.2938
