timestamp, HMD_x, HMD_y,HMD_z
761.677,10,-35.8062,1.8202,-1.1752
761.688,10,-35.8000,1.8218,-1.1741
761.699,10,-35.7937,1.8231,-1.1731
761.711,10,-35.7877,1.8244,-1.1723
761.723,10,-35.7817,1.8257,-1.1716
761.734,10,-35.7755,1.8269,-1.1708
761.745,10,-35.7693,1.8279,-1.1703
761.757,10,-35.7632,1.8288,-1.1697
761.769,10,-35.7572,1.8296,-1.1692
761.781,10,-35.7512,1.8304,-1.1689
761.793,10,-35.7453,1.8313,-1.1685
761.804,10,-35.7393,1.8321,-1.1682
761.815,10,-35.7335,1.8328,-1.1679
761.826,10,-35.7278,1.8333,-1.1677
761.837,10,-35.7223,1.8336,-1.1675
761.847,10,-35.7169,1.8338,-1.1673
761.859,10,-35.7116,1.8340,-1.1672
761.871,10,-35.7065,1.8340,-1.1672
761.887,10,-35.6961,1.8341,-1.1670
761.907,10,-35.6865,1.8340,-1.1670
761.928,10,-35.6771,1.8338,-1.1672
761.951,10,-35.6678,1.8332,-1.1674
761.962,10,-35.6635,1.8329,-1.1675
761.976,10,-35.6592,1.8327,-1.1678
761.987,10,-35.6549,1.8325,-1.1679
761.999,10,-35.6507,1.8323,-1.1681
762.010,10,-35.6466,1.8320,-1.1683
762.021,10,-35.6424,1.8316,-1.1685
762.033,10,-35.6384,1.8313,-1.1689
762.043,10,-35.6345,1.8311,-1.1692
762.055,10,-35.6306,1.8307,-1.1698
762.066,10,-35.6268,1.8306,-1.1702
762.078,10,-35.6230,1.8300,-1.1707
762.089,10,-35.6193,1.8297,-1.1712
762.101,10,-35.6156,1.8294,-1.1717
762.112,10,-35.6121,1.8292,-1.1723
762.123,10,-35.6085,1.8289,-1.1728
762.134,10,-35.6051,1.8288,-1.1733
762.145,10,-35.6017,1.8286,-1.1739
762.156,10,-35.5984,1.8282,-1.1747
762.167,10,-35.5952,1.8279,-1.1755
762.177,10,-35.5920,1.8275,-1.1764
762.188,10,-35.5889,1.8272,-1.1772
762.198,10,-35.5857,1.8269,-1.1781
762.209,10,-35.5826,1.8266,-1.1790
762.220,10,-35.5795,1.8262,-1.1800
762.231,10,-35.5765,1.8257,-1.1811
762.242,10,-35.5735,1.8253,-1.1822
762.253,10,-35.5708,1.8249,-1.1834
762.264,10,-35.5679,1.8246,-1.1845
762.275,10,-35.5651,1.8242,-1.1858
762.286,10,-35.5625,1.8239,-1.1870
762.297,10,-35.5599,1.8235,-1.1882
762.308,10,-35.5573,1.8233,-1.1896
762.319,10,-35.5548,1.8233,-1.1910
762.330,10,-35.5522,1.8233,-1.1924
762.342,10,-35.5499,1.8234,-1.1940
762.352,10,-35.5474,1.8234,-1.1958
762.364,10,-35.5450,1.8238,-1.1973
762.375,10,-35.5426,1.8246,-1.1989
762.386,10,-35.5402,1.8255,-1.2004
762.398,10,-35.5380,1.8265,-1.2021
762.409,10,-35.5359,1.8273,-1.2038
762.419,10,-35.5336,1.8280,-1.2053
762.430,10,-35.5314,1.8288,-1.2069
762.441,10,-35.5293,1.8293,-1.2086
762.452,10,-35.5272,1.8301,-1.2098
762.463,10,-35.5251,1.8305,-1.2114
762.474,10,-35.5231,1.8309,-1.2128
762.486,10,-35.5210,1.8311,-1.2142
762.497,10,-35.5189,1.8313,-1.2156
762.507,10,-35.5168,1.8315,-1.2170
762.520,10,-35.5146,1.8316,-1.2185
762.531,10,-35.5124,1.8317,-1.2199
762.541,10,-35.5104,1.8318,-1.2213
762.553,10,-35.5083,1.8318,-1.2228
762.565,10,-35.5062,1.8318,-1.2241
762.576,10,-35.5040,1.8318,-1.2255
762.587,10,-35.5019,1.8317,-1.2268
762.598,10,-35.4997,1.8316,-1.2280
762.609,10,-35.4976,1.8314,-1.2292
762.621,10,-35.4955,1.8310,-1.2304
762.631,10,-35.4933,1.8306,-1.2315
762.643,10,-35.4910,1.8302,-1.2326
762.654,10,-35.4887,1.8298,-1.2337
762.665,10,-35.4864,1.8296,-1.2348
762.684,10,-35.4840,1.8290,-1.2357
762.698,10,-35.4795,1.8281,-1.2377
762.717,10,-35.4752,1.8277,-1.2395
762.729,10,-35.4731,1.8278,-1.2404
762.742,10,-35.4712,1.8280,-1.2410
762.754,10,-35.4693,1.8282,-1.2417
762.765,10,-35.4674,1.8286,-1.2422
762.775,10,-35.4655,1.8291,-1.2427
762.787,10,-35.4638,1.8298,-1.2431
762.798,10,-35.4621,1.8305,-1.2434
762.809,10,-35.4604,1.8311,-1.2437
762.820,10,-35.4589,1.8317,-1.2439
762.832,10,-35.4574,1.8321,-1.2441
762.843,10,-35.4560,1.8323,-1.2442
762.853,10,-35.4545,1.8324,-1.2444
762.865,10,-35.4532,1.8324,-1.2445
762.875,10,-35.4517,1.8323,-1.2447
762.887,10,-35.4504,1.8321,-1.2447
762.898,10,-35.4490,1.8318,-1.2446
762.910,10,-35.4478,1.8313,-1.2444
762.921,10,-35.4465,1.8307,-1.2442
762.931,10,-35.4451,1.8303,-1.2438
762.942,10,-35.4438,1.8298,-1.2431
762.953,10,-35.4425,1.8292,-1.2424
762.965,10,-35.4413,1.8286,-1.2416
762.976,10,-35.4401,1.8279,-1.2406
762.988,10,-35.4391,1.8272,-1.2396
762.999,10,-35.4382,1.8263,-1.2386
763.009,10,-35.4373,1.8255,-1.2374
763.020,10,-35.4365,1.8248,-1.2363
763.031,10,-35.4358,1.8241,-1.2351
763.043,10,-35.4349,1.8238,-1.2340
763.054,10,-35.4342,1.8237,-1.2329
763.065,10,-35.4336,1.8236,-1.2317
763.076,10,-35.4329,1.8238,-1.2307
763.088,10,-35.4322,1.8239,-1.2297
763.099,10,-35.4316,1.8241,-1.2289
